Saint George Spectrum,43930,News,14 retailers offering more flexible return policies,Covid19,168262,neutral,0,Low,,,,,https://www.thespectrum.com/story/tech/reviewedcom/2020/04/09/14-retailers-with-flexible-return-policies-during-the-coronavirus-pandemic/5122241002/
www.poughkeepsiejournal.com,43930,News,14 retailers offering more flexible return policies,Covid19,193005,neutral,0,Low,,,,,http://www.poughkeepsiejournal.com/story/tech/reviewedcom/2020/04/09/14-retailers-with-flexible-return-policies-during-the-coronavirus-pandemic/5122241002/
Statesman Journal,43930,News,14 retailers offering more flexible return policies,Covid19,261212,neutral,0,Low,,,,,http://www.statesmanjournal.com/story/tech/reviewedcom/2020/04/09/14-retailers-with-flexible-return-policies-during-the-coronavirus-pandemic/5122241002/
NorthJersey.com,43930,News,14 retailers with flexible return policies during the coronavirus pandemic,Covid19,2444316,neutral,0,Medium,,,,,https://www.northjersey.com/story/tech/reviewedcom/2020/04/09/14-retailers-with-flexible-return-policies-during-the-coronavirus-pandemic/5122241002/
People.com,43930,News,"50+ Stores Offering Free Shipping, Extended Returns, and More Incredible Offers Right Now",Covid19,,neutral,N/A,Low,,,,,https://people.com/lifestyle/stores-with-free-shipping-coronavirus-shopping/
Greenwood Democrat,43931,News,14 retailers with flexible return policies during the coronavirus pandemic,Covid19,993,neutral,0,Low,,,,,https://www.greenwooddemocrat.com/zz/lifestyle/20200410/14-retailers-with-flexible-return-policies-during-coronavirus-pandemic?rssfeed=true
www.oakridger.com,43931,News,"14 retailers with flexible return policies during the coronavirus pandemic - Lifestyle - Oakridger - Oak Ridge, TN - Oak Ridge, TN",Covid19,21210,neutral,0,Low,,,,,https://www.oakridger.com/zz/lifestyle/20200410/14-retailers-with-flexible-return-policies-during-coronavirus-pandemic?rssfeed=true
Booneville Democrat,43931,News,"14 retailers with flexible return policies during the coronavirus pandemic - Lifestyle - Booneville Democrat - Booneville, AR",Covid19,5247,neutral,0,Low,,,,,https://www.boonevilledemocrat.com/zz/lifestyle/20200410/14-retailers-with-flexible-return-policies-during-coronavirus-pandemic?rssfeed=true
Ocala.com,43931,News,14 retailers with flexible return policies during the coronavirus pandemic,Covid19,179177,neutral,0,Low,,,,,https://www.ocala.com/zz/lifestyle/20200410/14-retailers-with-flexible-return-policies-during-coronavirus-pandemic?rssfeed=true
Dover Post,43931,News,"14 retailers with flexible return policies during the coronavirus pandemic - Lifestyle - Dover Post - Dover, DE",Covid19,39712,neutral,0,Low,,,,,https://www.doverpost.com/zz/lifestyle/20200410/14-retailers-with-flexible-return-policies-during-coronavirus-pandemic?rssfeed=true
The Courier-Tribune,43931,News,14 retailers with flexible return policies during the coronavirus pandemic,Covid19,58838,neutral,0,Low,,,,,https://www.courier-tribune.com/zz/lifestyle/20200410/14-retailers-with-flexible-return-policies-during-coronavirus-pandemic?rssfeed=true
The Glen Rose Reporter,43931,News,"14 retailers with flexible return policies during the coronavirus pandemic - Lifestyle - The Glen Rose Reporter - Glen Rose, TX",Covid19,13248,neutral,0,Low,,,,,https://www.yourglenrosetx.com/zz/lifestyle/20200410/14-retailers-with-flexible-return-policies-during-coronavirus-pandemic?rssfeed=true
the-dispatch.com,43931,News,"14 retailers with flexible return policies during the coronavirus pandemic - Lifestyle - The Dispatch - Lexington, NC",Covid19,97783,neutral,0,Low,,,,,https://www.the-dispatch.com/zz/lifestyle/20200410/14-retailers-with-flexible-return-policies-during-coronavirus-pandemic?rssfeed=true
Coastcontact,43931,Blog,The End of The Shopping Mall?,Covid19,794,neutral,0,Low,,,,,https://coastcontact.wordpress.com/2020/04/10/the-end-of-the-shopping-mall/
Fashionista,43931,Blog,"Must Read: What's the Point of a Fashion Magazine Now?, How 5 Very Different Brands Are Handling E-Commerce",Covid19,705179,negative,0,Low,,,,,https://fashionista.com/2020/04/fashion-magazines-during-coronavirus
Business of Fashion,43931,News,Beauty Booms in the Zoom Era,Covid19,577000,neutral,N/A,Medium,,,,,https://www.businessoffashion.com/articles/professional/beauty-booms-in-the-zoom-era
WMCActionNews5.com,43931,News,Sephora closes Olive Branch warehouse after employee tests positive for COVID-19,Covid19,620089,positive,0,Low,,,,,https://www.wmcactionnews5.com/2020/04/10/sephora-closes-olive-branch-warehouse-after-employee-tests-positive-covid-/
The Daily Herald,43931,News,14 retailers with flexible return policies during the coronavirus pandemic,Covid19,59218,neutral,0,Low,,,,,https://www.columbiadailyherald.com/zz/lifestyle/20200410/14-retailers-with-flexible-return-policies-during-coronavirus-pandemic?rssfeed=true
Women's Wear Daily,43931,News,Coronavirus Causes Beauty Sales to Shift Online,Covid19,746846,neutral,0,Low,,,,Media Relations,https://wwd.com/beauty-industry-news/beauty-features/coronavirus-beauty-ecommerce-sales-increase-1203556144/
Salina Journal,43931,News,14 retailers with flexible return policies during the coronavirus pandemic,Covid19,54928,neutral,0,Low,,,,,https://www.salina.com/zz/lifestyle/20200410/14-retailers-with-flexible-return-policies-during-coronavirus-pandemic?rssfeed=true
Tuscaloosa News,43931,News,14 retailers with flexible return policies during the coronavirus pandemic,Covid19,134740,neutral,0,Low,,,,,https://www.tuscaloosanews.com/zz/lifestyle/20200410/14-retailers-with-flexible-return-policies-during-coronavirus-pandemic?rssfeed=true
ApalachTimes.com,43931,News,14 retailers with flexible return policies during the coronavirus pandemic,Covid19,22381,neutral,0,Low,,,,,https://www.apalachtimes.com/zz/lifestyle/20200410/14-retailers-with-flexible-return-policies-during-coronavirus-pandemic?rssfeed=true
The Topeka Capital-Journal,43931,News,14 retailers with flexible return policies during the coronavirus pandemic,Covid19,283319,neutral,0,Low,,,,,https://www.cjonline.com/zz/lifestyle/20200410/14-retailers-with-flexible-return-policies-during-coronavirus-pandemic?rssfeed=true
Gadsden Times,43931,News,14 retailers with flexible return policies during the coronavirus pandemic,Covid19,121774,neutral,0,Low,,,,,https://www.gadsdentimes.com/zz/lifestyle/20200410/14-retailers-with-flexible-return-policies-during-coronavirus-pandemic?rssfeed=true
Nebraska City News Press,43931,News,14 retailers with flexible return policies during the coronavirus pandemic,Covid19,8757,neutral,0,Low,,,,,https://www.ncnewspress.com/zz/lifestyle/20200410/14-retailers-with-flexible-return-policies-during-coronavirus-pandemic?rssfeed=true
Daily Leader,43931,News,14 retailers with flexible return policies during the coronavirus pandemic,Covid19,10596,neutral,0,Low,,,,,https://www.pontiacdailyleader.com/zz/lifestyle/20200410/14-retailers-with-flexible-return-policies-during-coronavirus-pandemic?rssfeed=true
Dodge City Daily Globe,43931,News,14 retailers with flexible return policies during the coronavirus pandemic,Covid19,8993,neutral,0,Low,,,,,https://www.dodgeglobe.com/zz/lifestyle/20200410/14-retailers-with-flexible-return-policies-during-coronavirus-pandemic?rssfeed=true
Walton Sun,43931,News,14 retailers with flexible return policies during the coronavirus pandemic,Covid19,71663,neutral,0,Low,,,,,https://www.waltonsun.com/zz/lifestyle/20200410/14-retailers-with-flexible-return-policies-during-coronavirus-pandemic?rssfeed=true
Woodford Times,43931,News,14 retailers with flexible return policies during the coronavirus pandemic,Covid19,993,neutral,0,Low,,,,,https://www.woodfordtimes.com/zz/lifestyle/20200410/14-retailers-with-flexible-return-policies-during-coronavirus-pandemic?rssfeed=true
Runnels County Register,43931,News,14 retailers with flexible return policies during the coronavirus pandemic,Covid19,2565,neutral,0,Low,,,,,https://www.runnelscountyregister.com/zz/lifestyle/20200410/14-retailers-with-flexible-return-policies-during-coronavirus-pandemic
Aurora Advertiser,43931,News,14 retailers with flexible return policies during the coronavirus pandemic,Covid19,1956,neutral,0,Low,,,,,https://www.auroraadvertiser.net/zz/lifestyle/20200410/14-retailers-with-flexible-return-policies-during-coronavirus-pandemic?rssfeed=true
The Destin Log,43931,News,14 retailers with flexible return policies during the coronavirus pandemic,Covid19,81807,neutral,0,Low,,,,,https://www.thedestinlog.com/zz/lifestyle/20200410/14-retailers-with-flexible-return-policies-during-coronavirus-pandemic?rssfeed=true
Teutopolis Press,43931,News,14 retailers with flexible return policies during the coronavirus pandemic,Covid19,389,neutral,0,Low,,,,,https://www.teutopolispress.com/zz/lifestyle/20200410/14-retailers-with-flexible-return-policies-during-coronavirus-pandemic?rssfeed=true
www.pressargus.com,43931,News,14 retailers with flexible return policies during the coronavirus pandemic,Covid19,4042,neutral,0,Low,,,,,https://www.pressargus.com/zz/lifestyle/20200410/14-retailers-with-flexible-return-policies-during-coronavirus-pandemic?rssfeed=true
Burlington Hawk Eye,43931,News,14 retailers with flexible return policies during the coronavirus pandemic,Covid19,50964,neutral,0,Low,,,,,https://www.thehawkeye.com/zz/lifestyle/20200410/14-retailers-with-flexible-return-policies-during-coronavirus-pandemic?rssfeed=true
Valley Town Crier,43931,News,14 retailers with flexible return policies during the coronavirus pandemic,Covid19,7121,neutral,0,Low,,,,,https://www.Yourvalleyvoice.com/zz/lifestyle/20200410/14-retailers-with-flexible-return-policies-during-coronavirus-pandemic?rssfeed=true
Star,43931,News,14 retailers with flexible return policies during the coronavirus pandemic,Covid19,10114,neutral,0,Low,,,,,https://www.starfl.com/zz/lifestyle/20200410/14-retailers-with-flexible-return-policies-during-coronavirus-pandemic?rssfeed=true
Constitution-Tribune,43931,News,14 retailers with flexible return policies during the coronavirus pandemic,Covid19,9299,neutral,0,Low,,,,,https://www.chillicothenews.com/zz/lifestyle/20200410/14-retailers-with-flexible-return-policies-during-coronavirus-pandemic?rssfeed=true
